Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64274    0.125    0.000    0.125    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1791(<dictcomp>)
    64096    0.119    0.000    0.302    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2311(__init__)
   580234    0.117    0.000    0.117    0.000 {built-in method __new__ of type object at 0x00007FF999B31C60}
   853446    0.112    0.000    0.112    0.000 {method 'get' of 'dict' objects}
   141871    0.111    0.000    1.242    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
    43479    0.109    0.000    0.128    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:813(set_weight)
      569    0.108    0.000    0.108    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     2590    0.105    0.000    0.105    0.000 {built-in method nt.stat}
31084/21468    0.103    0.000    3.772    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
     4960    0.101    0.000    0.425    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:884(_set_format)
    65765    0.100    0.000    0.348    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1867(__init__)
     2480    0.100    0.000    6.930    0.003 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1023(_update_ticks)
    79185    0.099    0.000    0.381    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:238(_recache)
    17002    0.098    0.000    1.936    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:129(__init__)
   200602    0.096    0.000    3.311    0.000 D:\Programs\Conda\lib\inspect.py:3057(bind)
6304/5344    0.095    0.000    8.142    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:813(reset_ticks)
   601806    0.094    0.000    0.094    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
109265/80671    0.091    0.000    0.114    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
    43468    0.091    0.000    1.269    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:173(update)
    21189    0.089    0.000    1.467    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:772(get_patch_transform)
    64091    0.088    0.000    6.122    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1152(set)
   887434    0.088    0.000    0.088    0.000 D:\Programs\Conda\lib\inspect.py:2569(default)
    14456    0.087    0.000    0.182    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:650(translated)
     7382    0.086    0.000    1.060    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:665(draw)
242305/241756    0.086    0.000    0.563    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_asarray.py:14(asarray)
    19624    0.086    0.000    0.086    0.000 {method 'round' of 'numpy.ndarray' objects}
      461    0.086    0.000    0.086    0.000 {built-in method io.open}
     2920    0.085    0.000    0.102    0.000 D:\Programs\Conda\lib\site-packages\cycler.py:349(by_key)
    58541    0.083    0.000    0.125    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:849(set_size)
26765/24223    0.082    0.000    0.336    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2401(get_affine)
    22044    0.077    0.000    0.145    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1111(set_linestyle)
    49130    0.077    0.000    0.146    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:907(get_siblings)
   592898    0.076    0.000    0.076    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:217(axes)
     4241    0.076    0.000    0.135    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2763(_get_axis_map)
    26716    0.075    0.000    0.119    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:697(__hash__)
   107022    0.075    0.000    0.234    0.000 D:\Programs\Conda\lib\re.py:188(match)
    34111    0.074    0.000    0.326    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
   102401    0.073    0.000    0.308    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
    59122    0.072    0.000    0.501    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
    42930    0.072    0.000    0.091    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:831(set_stretch)
    66328    0.070    0.000    0.397    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2468(composite_transform_factory)
    71329    0.069    0.000    0.069    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   107603    0.069    0.000    0.124    0.000 D:\Programs\Conda\lib\re.py:289(_compile)
    62858    0.069    0.000    0.340    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:178(to_rgba)
