Mon Nov 29 09:44:32 2021    output.dat

         45699553 function calls (44755293 primitive calls) in 48.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   502536    0.083    0.000    0.083    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\deprecation.py:419(<genexpr>)
94918/70432    0.083    0.000    0.104    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
    47203    0.083    0.000    0.286    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1867(__init__)
    98314    0.082    0.000    0.865    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:82(_stale_axes_callback)
5160/4376    0.082    0.000    6.929    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:813(reset_ticks)
   491580    0.081    0.000    0.081    0.000 {built-in method torch._C._has_torch_function_variadic}
    36858    0.080    0.000    1.050    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:173(update)
    53370    0.079    0.000    5.365    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1152(set)
    17375    0.076    0.000    1.246    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:772(get_patch_transform)
     2392    0.074    0.000    0.088    0.000 D:\Programs\Conda\lib\site-packages\cycler.py:349(by_key)
   741549    0.073    0.000    0.073    0.000 D:\Programs\Conda\lib\inspect.py:2569(default)
    94320    0.073    0.000    0.147    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\controller.py:14(is_gameover)
     7020    0.073    0.000    0.623    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:744(draw)
    18938    0.071    0.000    0.131    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1111(set_linestyle)
    47404    0.069    0.000    0.106    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:849(set_size)
    91948    0.069    0.000    0.211    0.000 D:\Programs\Conda\lib\re.py:188(match)
    91943    0.068    0.000    0.288    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:132(_is_nth_color)
    58275    0.063    0.000    0.314    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:178(to_rgba)
   410498    0.063    0.000    0.063    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:217(axes)
    92346    0.061    0.000    0.112    0.000 D:\Programs\Conda\lib\re.py:289(_compile)
    14599    0.061    0.000    0.098    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2017(scale)
     2204    0.060    0.000    0.071    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   165766    0.060    0.000    0.418    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_asarray.py:14(asarray)
    41208    0.059    0.000    0.107    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1133(__setattr__)
    52555    0.059    0.000    0.374    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2468(composite_transform_factory)
   390918    0.059    0.000    0.059    0.000 {built-in method builtins.iter}
    98777    0.059    0.000    0.085    0.000 D:\Programs\Conda\lib\enum.py:289(__call__)
    34162    0.059    0.000    0.076    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:831(set_stretch)
     1428    0.058    0.000    0.078    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    92323    0.056    0.000    0.056    0.000 {method 'match' of 're.Pattern' objects}
    34954    0.055    0.000    0.108    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2004(translate)
   188440    0.055    0.000    0.074    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:160(is_empty)
    36860    0.054    0.000    0.153    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:267(_set_fillstyle)
     2858    0.053    0.000    0.093    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:2763(_get_axis_map)
